frame,id,x1,y1,x2,y2,class,conf
13,4,473,410,539,485,player,0.8496371507644653
13,5,249,264,302,345,player,0.9077348113059998
13,6,1121,347,1179,440,player,0.9180903434753418
13,7,854,86,882,130,player,0.8903387784957886
13,8,1036,127,1058,182,player,0.8956407308578491
13,9,513,156,548,217,player,0.908760666847229
13,10,842,197,874,269,player,0.9087622761726379
13,11,1248,261,1280,346,player,0.878462016582489
13,13,573,410,627,513,player,0.9036583304405212
13,14,704,96,728,149,player,0.9142982959747314
14,1,896,445,947,534,player,0.9180325865745544
14,2,588,160,625,227,player,0.9130743741989136
14,3,976,185,1007,252,player,0.9062502980232239
14,4,484,410,547,479,player,0.8050759434700012
14,5,260,265,307,345,player,0.9041123986244202
14,6,1120,348,1188,441,player,0.9072266817092896
14,7,867,86,893,130,player,0.8734009861946106
14,8,1048,127,1072,182,player,0.9165221452713013
14,9,525,157,560,217,player,0.8921454548835754
14,10,848,196,886,269,player,0.9089500308036804
14,11,1259,260,1280,337,player,0.8559163808822632
14,13,574,410,631,517,player,0.926037609577179
14,14,715,96,741,148,player,0.8915114998817444
14,17,508,434,572,507,player,0.5432178378105164
15,1,899,443,957,535,player,0.9248577952384949
15,2,600,161,638,227,player,0.9161446690559387
15,3,984,185,1019,252,player,0.9162493348121643
15,4,494,412,557,482,player,0.7771750688552856
15,5,269,266,310,345,player,0.9005470871925354
15,6,1124,352,1190,442,player,0.9152817130088806
15,7,880,87,903,130,player,0.8865426778793335
15,8,1059,127,1086,183,player,0.9079766869544983
15,9,537,157,572,218,player,0.8911216855049133
15,10,855,197,898,269,player,0.9207730293273926
15,11,1268,256,1280,337,player,0.6291938424110413
15,13,583,409,634,512,player,0.9110887050628662
15,14,726,98,754,150,player,0.8908286094665527
15,16,807,226,837,298,player,0.5756375193595886
16,1,903,441,966,533,player,0.8429473042488098
16,2,612,162,650,228,player,0.9055742621421814
16,3,990,187,1031,252,player,0.9199791550636292
16,4,504,414,557,488,player,0.5935145616531372
16,5,277,265,310,346,player,0.8992499113082886
